equipment_id,equipment_type,age_years,usage_count,days_since_maintenance,condition_score,maintenance_needed
EQ-001,Centrifuge,1.5,98,16,9,0
EQ-002,Autoclave,9.1,342,38,5,0
EQ-003,Spectrophotometer,5.3,311,42,5,1
EQ-004,Centrifuge,8.4,506,143,2,0
EQ-005,Microscope,3.5,179,88,6,0
EQ-006,Microscope,9.0,601,67,1,1
EQ-007,Microscope,4.2,322,35,7,0
EQ-008,Autoclave,0.6,45,235,7,0
EQ-009,Spectrophotometer,9.1,478,294,5,1
EQ-010,Spectrophotometer,1.4,49,13,10,0
EQ-011,Microscope,3.5,277,108,7,0
EQ-012,Autoclave,9.5,683,48,1,1
EQ-013,Autoclave,9.5,344,280,3,0
EQ-014,Microscope,5.9,448,294,5,1
EQ-015,Microscope,6.5,477,166,3,1
EQ-016,Microscope,4.8,268,84,6,0
EQ-017,Microscope,3.3,196,297,7,0
EQ-018,Centrifuge,3.6,179,139,6,0
EQ-019,Centrifuge,6.9,225,184,4,0
EQ-020,Microscope,7.6,355,93,3,1
EQ-021,Spectrophotometer,8.0,561,31,3,1
EQ-022,Microscope,8.0,241,36,4,0
EQ-023,Microscope,1.4,65,204,7,0
EQ-024,Centrifuge,5.2,259,346,6,0
EQ-025,Centrifuge,1.0,56,245,10,0
EQ-026,Spectrophotometer,5.7,433,101,5,1
EQ-027,Microscope,4.7,222,30,5,0
EQ-028,Centrifuge,8.9,421,312,1,0
EQ-029,Centrifuge,3.8,254,93,6,0
EQ-030,Microscope,1.6,84,271,8,1
EQ-031,Spectrophotometer,1.9,78,156,7,0
EQ-032,Microscope,7.7,405,266,4,1
EQ-033,Microscope,6.4,237,67,7,0
EQ-034,Autoclave,1.5,58,24,9,0
EQ-035,Autoclave,1.3,71,171,9,0
EQ-036,Autoclave,7.2,366,172,3,0
EQ-037,Microscope,1.2,90,329,10,0
EQ-038,Microscope,8.3,399,290,3,1
EQ-039,Spectrophotometer,7.2,425,289,3,1
EQ-040,Centrifuge,1.3,80,21,9,0
EQ-041,Microscope,1.3,39,283,10,0
EQ-042,Centrifuge,9.9,625,280,1,0
EQ-043,Microscope,4.1,159,217,8,0
EQ-044,Autoclave,4.0,312,36,6,0
EQ-045,Microscope,8.2,306,81,4,1
EQ-046,Spectrophotometer,9.5,481,69,3,1
EQ-047,Microscope,9.9,339,154,3,0
